Uniprot_id	GO_id	GO_name	aspartic	cysteine	glutamic	metallo	asparagine	serine	threonine
A0A1B0GTW7	GO:0004222	metalloendopeptidase activity	0	0	0	1	0	0	0
A0A1B0GTW7	GO:0008233	peptidase activity	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0008237	metallopeptidase activity	0	0	0	1	0	0	0
A0A1B0GTW7	GO:0046872	metal ion binding	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0006508	proteolysis	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0007155	cell adhesion	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0061966	establishment of left/right asymmetry	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0005737	cytoplasm	0	0	0	0	0	0	0
A0A1B0GTW7	GO:0016020	membrane	0	0	0	0	0	0	0
A0A1B0GVH4	GO:0004252	serine-type endopeptidase activity	0	0	0	0	0	1	0
A0A1B0GVH4	GO:0006508	proteolysis	0	0	0	0	0	0	0
A0A1B0GVH4	GO:0005576	extracellular region	0	0	0	0	0	0	0
A1L453	GO:0004252	serine-type endopeptidase activity	0	0	0	0	0	1	0
A1L453	GO:0008236	serine-type peptidase activity	0	0	0	0	0	1	0
A1L453	GO:0006508	proteolysis	0	0	0	0	0	0	0
A1L453	GO:0005576	extracellular region	0	0	0	0	0	0	0
A4D1T9	GO:0004252	serine-type endopeptidase activity	0	0	0	0	0	1	0
A4D1T9	GO:0006508	proteolysis	0	0	0	0	0	0	0
A4D1T9	GO:0007338	single fertilization	0	0	0	0	0	0	0
A4D1T9	GO:0007339	binding of sperm to zona pellucida	0	0	0	0	0	0	0
A4D1T9	GO:0008354	germ cell migration	0	0	0	0	0	0	0
A4D1T9	GO:0016477	cell migration	0	0	0	0	0	0	0
A4D1T9	GO:0051604	protein maturation	0	0	0	0	0	0	0
A4D1T9	GO:0070613	regulation of protein processing	0	0	0	0	0	0	0
A4D1T9	GO:1905516	positive regulation of fertilization	0	0	0	0	0	0	0
A4D1T9	GO:2000344	positive regulation of acrosome reaction	0	0	0	0	0	0	0
A4D1T9	GO:0001669	acrosomal vesicle	0	0	0	0	0	0	0
A4D1T9	GO:0005615	extracellular space	0	0	0	0	0	0	0
A4D1T9	GO:0005576	extracellular region	0	0	0	0	0	0	0
A4D1T9	GO:0005634	nucleus	0	0	0	0	0	0	0
A4D1T9	GO:0031410	cytoplasmic vesicle	0	0	0	0	0	0	0
A5LHX3	GO:0006508	proteolysis	0	0	0	0	0	0	0
A5LHX3	GO:0004175	endopeptidase activity	0	0	0	0	0	0	0
A5LHX3	GO:0004298	threonine-type endopeptidase activity	0	0	0	0	0	0	1
A5LHX3	GO:0005515	protein binding	0	0	0	0	0	0	0
A5LHX3	GO:0008233	peptidase activity	0	0	0	0	0	0	0
A5LHX3	GO:0033077	t cell differentiation in thymus	0	0	0	0	0	0	0
A5LHX3	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0	0	0	0	0	0	0
A5LHX3	GO:0043374	cd8-positive, alpha-beta t cell differentiation	0	0	0	0	0	0	0
A5LHX3	GO:0051603	proteolysis involved in protein catabolic process	0	0	0	0	0	0	0
A5LHX3	GO:0005634	nucleus	0	0	0	0	0	0	0
A5LHX3	GO:0005829	cytosol	0	0	0	0	0	0	0
A5LHX3	GO:0005737	cytoplasm	0	0	0	0	0	0	0
A5LHX3	GO:0000502	proteasome complex	0	0	0	0	0	0	0
A5LHX3	GO:0005839	proteasome core complex	0	0	0	0	0	0	0
A5LHX3	GO:0019774	proteasome core complex, beta-subunit complex	0	0	0	0	0	0	0
A6NCW0	GO:0004843	cysteine-type deubiquitinase activity	0	1	0	0	0	0	0
A6NCW0	GO:0008234	cysteine-type peptidase activity	0	1	0	0	0	0	0
A6NCW0	GO:0006508	proteolysis	0	0	0	0	0	0	0
A6NCW0	GO:0006915	apoptotic process	0	0	0	0	0	0	0
A6NCW0	GO:0016579	protein deubiquitination	0	0	0	0	0	0	0
A6NCW0	GO:0031647	regulation of protein stability	0	0	0	0	0	0	0
A6NCW0	GO:0042981	regulation of apoptotic process	0	0	0	0	0	0	0
A6NCW0	GO:0005634	nucleus	0	0	0	0	0	0	0
A6NCW0	GO:0005829	cytosol	0	0	0	0	0	0	0
A6NCW0	GO:0005783	endoplasmic reticulum	0	0	0	0	0	0	0
A6NCW7	GO:0004843	cysteine-type deubiquitinase activity	0	1	0	0	0	0	0
A6NCW7	GO:0016579	protein deubiquitination	0	0	0	0	0	0	0
A6NCW7	GO:0031647	regulation of protein stability	0	0	0	0	0	0	0
A6NCW7	GO:0042981	regulation of apoptotic process	0	0	0	0	0	0	0
A6NCW7	GO:0005634	nucleus	0	0	0	0	0	0	0
A6NCW7	GO:0005829	cytosol	0	0	0	0	0	0	0
A6NCW7	GO:0005783	endoplasmic reticulum	0	0	0	0	0	0	0
A6NEC2	GO:0004177	aminopeptidase activity	0	0	0	0	0	0	0
A6NEC2	GO:0008237	metallopeptidase activity	0	0	0	1	0	0	0
A6NEC2	GO:0008270	zinc ion binding	0	0	0	0	0	0	0
A6NEC2	GO:0042277	peptide binding	0	0	0	0	0	0	0
A6NEC2	GO:0046872	metal ion binding	0	0	0	0	0	0	0
A6NEC2	GO:0070006	metalloaminopeptidase activity	0	0	0	1	0	0	0
A6NEC2	GO:0006508	proteolysis	0	0	0	0	0	0	0
A6NEC2	GO:0043171	peptide catabolic process	0	0	0	0	0	0	0
A6NEC2	GO:0005615	extracellular space	0	0	0	0	0	0	0
A6NEC2	GO:0005737	cytoplasm	0	0	0	0	0	0	0
A6NEC2	GO:0016020	membrane	0	0	0	0	0	0	0
A6NEC2	GO:0070062	extracellular exosome	0	0	0	0	0	0	0
A6NFA1	GO:0004175	endopeptidase activity	0	0	0	0	0	0	0
A6NFA1	GO:0004222	metalloendopeptidase activity	0	0	0	1	0	0	0
A6NFA1	GO:0005515	protein binding	0	0	0	0	0	0	0
A6NFA1	GO:0008237	metallopeptidase activity	0	0	0	1	0	0	0
A6NFA1	GO:0017147	wnt-protein binding	0	0	0	0	0	0	0
A6NFA1	GO:0046872	metal ion binding	0	0	0	0	0	0	0
A6NFA1	GO:0006508	proteolysis	0	0	0	0	0	0	0
A6NFA1	GO:0016055	wnt signaling pathway	0	0	0	0	0	0	0
A6NFA1	GO:0030178	negative regulation of wnt signaling pathway	0	0	0	0	0	0	0
A6NFA1	GO:0031334	positive regulation of protein-containing complex assembly	0	0	0	0	0	0	0
A6NFA1	GO:1904808	positive regulation of protein oxidation	0	0	0	0	0	0	0
A6NFA1	GO:0005886	plasma membrane	0	0	0	0	0	0	0
A6NFA1	GO:0031090	organelle membrane	0	0	0	0	0	0	0
A6NFU8	GO:0008234	cysteine-type peptidase activity	0	1	0	0	0	0	0
A6NFU8	GO:0006508	proteolysis	0	0	0	0	0	0	0
A6NGU5	GO:0008233	peptidase activity	0	0	0	0	0	0	0
A6NGU5	GO:0016746	acyltransferase activity	0	0	0	0	0	0	0
A6NGU5	GO:0036374	glutathione hydrolase activity	0	0	0	0	0	0	0
A6NGU5	GO:0103068	leukotriene c4 gamma-glutamyl transferase activity	0	0	0	0	0	0	0
A6NGU5	GO:0002682	regulation of immune system process	0	0	0	0	0	0	0
A6NGU5	GO:0006508	proteolysis	0	0	0	0	0	0	0
A6NGU5	GO:0006749	glutathione metabolic process	0	0	0	0	0	0	0
A6NGU5	GO:0006750	glutathione biosynthetic process	0	0	0	0	0	0	0
A6NGU5	GO:0006751	glutathione catabolic process	0	0	0	0	0	0	0
A6NGU5	GO:0031179	peptide modification	0	0	0	0	0	0	0
A6NGU5	GO:0050727	regulation of inflammatory response	0	0	0	0	0	0	0
A6NGU5	GO:1901750	leukotriene d4 biosynthetic process	0	0	0	0	0	0	0
